,ts,latitude,longitude,satellites
197,58.52,39.38548278808594,-8.278456687927246,12
198,58.82,39.385520935058594,-8.278465270996094,12
199,59.02,39.38554000854492,-8.278470993041992,12
200,59.22,39.38555908203125,-8.27847671508789,12
201,59.42,39.38557815551758,-8.278483390808105,12
202,60.02,39.3856315612793,-8.278499603271484,12
203,60.22,39.385650634765625,-8.278505325317383,12
204,60.42,39.38566589355469,-8.278512954711914,12
205,60.62,39.385684967041016,-8.278519630432129,12
206,60.82,39.38570022583008,-8.27852725982666,12
207,61.02,39.38571548461914,-8.278534889221191,12
208,61.22,39.38573455810547,-8.278541564941406,12
209,61.42,39.38574981689453,-8.278548240661621,12
210,62.02,39.38579177856445,-8.278566360473633,12
211,62.22,39.385807037353516,-8.278569221496582,12
212,62.42,39.38582229614258,-8.278573989868164,12
213,62.62,39.38583755493164,-8.27857780456543,12
214,62.82,39.38584899902344,-8.278579711914062,12
215,63.02,39.3858642578125,-8.278582572937012,12
216,63.22,39.38587951660156,-8.278584480285645,12
217,63.42,39.385894775390625,-8.278585433959961,12
218,63.62,39.385894775390625,-8.278585433959961,12
219,63.72,39.38590621948242,-8.278586387634277,12
220,63.82,39.385921478271484,-8.27858829498291,12
221,64.02,39.38593673706055,-8.278589248657227,12
222,64.22,39.38595199584961,-8.278590202331543,12
223,64.42,39.38596725463867,-8.27859115600586,12
224,64.62,39.38596725463867,-8.27859115600586,12
225,64.82,39.3859977722168,-8.278594017028809,12
226,65.02,39.38601303100586,-8.278595924377441,12
227,65.22,39.38602828979492,-8.278597831726074,12
228,65.42,39.386043548583984,-8.278599739074707,12
229,66.02,39.38609313964844,-8.278605461120605,12
230,66.22,39.3861083984375,-8.278607368469238,12
231,66.42,39.38612365722656,-8.278609275817871,12
232,66.82,39.38615417480469,-8.278614044189453,12
233,67.02,39.38616943359375,-8.278615951538086,12
234,67.22,39.38618469238281,-8.278617858886719,12
235,67.42,39.386199951171875,-8.278620719909668,12
236,68.02,39.3862419128418,-8.278631210327148,12
237,68.22,39.38625717163086,-8.278635025024414,12
238,68.42,39.38627243041992,-8.278639793395996,12
239,68.82,39.38629913330078,-8.27864933013916,12
240,69.02,39.38631057739258,-8.278654098510742,12
241,69.22,39.386322021484375,-8.278658866882324,12
242,69.42,39.38633346557617,-8.278663635253906,12
243,70.02,39.38636779785156,-8.27867603302002,12
244,70.22,39.38637924194336,-8.278679847717285,12
245,70.42,39.38638687133789,-8.278682708740234,12
246,70.82,39.38640594482422,-8.278687477111816,12
247,71.02,39.38641357421875,-8.27868938446045,12
248,71.22,39.38642501831055,-8.278690338134766,12
249,71.42,39.38643264770508,-8.278692245483398,12
250,72.02,39.38645935058594,-8.278695106506348,12
251,72.22,39.38646697998047,-8.278696060180664,12
252,72.42,39.386474609375,-8.278696060180664,12
253,72.62,39.3864860534668,-8.278696060180664,12
254,72.82,39.38649368286133,-8.27869701385498,12
255,73.02,39.386505126953125,-8.27869701385498,12
256,73.22,39.386512756347656,-8.278697967529297,12
257,73.42,39.38652420043945,-8.278697967529297,12
258,74.02,39.38655471801758,-8.278696060180664,12
259,74.22,39.386566162109375,-8.278695106506348,12
260,74.42,39.38657760620117,-8.278694152832031,12
261,74.62,39.3865852355957,-8.278694152832031,12
262,74.82,39.3865966796875,-8.278695106506348,12
263,75.02,39.3866081237793,-8.278695106506348,12
