T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
18.50,7375.00,7360.44,72.79,0,0,0,0,0,0
18.55,7377.00,7363.75,66.23,0,0,0,0,0,0
18.60,7380.00,7367.00,64.99,0,0,0,0,0,0
18.65,7385.00,7370.60,71.99,0,0,0,0,0,0
18.70,7385.00,7373.48,57.59,0,0,0,0,0,0
18.75,7390.00,7376.79,66.07,0,0,0,0,0,0
18.80,7395.00,7380.43,72.86,0,0,0,0,0,0
18.85,7397.00,7383.74,66.29,0,0,0,0,0,0
18.90,7399.00,7386.79,61.03,0,0,0,0,0,0
18.95,7401.00,7389.64,56.83,0,0,0,0,0,0
19.00,7406.00,7392.91,65.46,0,0,0,0,0,0
19.05,7407.00,7395.73,56.37,0,0,0,0,0,0
19.10,7411.00,7398.78,61.09,0,0,0,0,0,0
19.15,7411.00,7401.23,48.88,0,0,0,0,0,0
19.20,7413.00,7403.58,47.10,0,0,0,0,0,0
19.25,7416.00,7406.06,49.68,0,0,0,0,0,0
19.30,7416.00,7408.05,39.75,0,0,0,0,0,0
19.35,7419.00,7410.24,43.80,0,0,0,0,0,0
19.40,7424.00,7412.99,55.04,0,0,0,0,0,0
19.45,7425.00,7415.39,48.03,0,0,0,0,0,0
19.50,7425.00,7417.32,38.42,0,0,0,0,0,0
19.55,7427.00,7419.25,38.74,0,0,0,0,0,0
19.60,7425.00,7420.40,22.99,0,0,0,0,0,0
19.65,7430.00,7422.32,38.39,0,0,0,0,0,0
19.70,7431.00,7424.06,34.72,0,0,0,0,0,0
19.75,7433.00,7425.85,35.77,0,0,0,0,0,0
19.80,7435.00,7427.68,36.62,0,0,0,0,0,0
19.85,7436.00,7429.34,33.29,0,0,0,0,0,0
19.90,7438.00,7431.07,34.64,0,0,0,0,0,0
19.95,7441.00,7433.06,39.71,0,0,0,0,0,0
20.00,7439.00,7434.25,23.77,0,0,0,0,0,0
20.05,7439.00,7435.20,19.01,0,0,0,0,0,0
20.10,7440.00,7436.16,19.21,0,0,0,0,0,0
20.15,7441.00,7437.13,19.37,0,0,0,0,0,0
20.20,7443.00,7438.30,23.50,0,0,0,0,0,0
20.25,7441.00,7438.84,10.79,0,0,0,0,0,0
20.30,7444.00,7439.87,20.63,0,0,0,0,0,0
20.35,7445.00,7440.90,20.51,0,0,0,0,0,0
20.40,7446.00,7441.92,20.41,0,0,0,0,0,0
20.45,7446.00,7442.73,16.33,0,0,0,0,0,0
20.50,7446.00,7443.39,13.06,0,0,0,0,0,0
